title	embed_code	views	likes	upload_date	summary
언니의 사랑을 목격한 동생	https://www.youtube.com/embed/_3pJcgWr69U	조회수 11,519,771회	122,130	2023-12-10	언니가 정 성폭 정이를 성폭 해 정이를 성폭 해 정이를 폭해 해 아 쪽팔려 괜찮아 병 가보자 나 진짜 괜찮아 괜찮아 괜찮아 병 가보자 나 진짜 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 괜찮아 
백호 여자도 때리는 겨? 실망이야 ㅠ #소년시대 #쿠팡플레이	https://www.youtube.com/embed/Oxfct_x_vKo	조회수 1,622,067회	25,364	2023-12-17	내가 여자를 때리는 건 처음이자 마지막일 거여 씨ᄇ 새끼 지영이는 건드리지 말고 그대로 보내 달라고 부탁하는 경태 경태야 니가 왜 여기 온 거냐 선화가 니들 살렸다 고맙다 경태야
SNL | 내남편의 후궁 찾기	https://www.youtube.com/embed/n4dMACJGRLo	조회수 2,005,360회	19,027	2023-12-12	주상은 강아지 상보다 고양이 상을 좋아하지 이런 철세 미인을 보았나 동이어 이런 천하 일색이 주상의 취향이다 주상 안 그렇습니까 안 그렇다고요 주상 안 그렇다고요 주상 안 그렇다고요 주상 안 그렇다고요 주상 안 그렇다고요 주상 안 그렇다고요 주상 안 그렇다고요 주상 안 그렇다고요 주상
대령숙수를 구하러 온 중전 #철인왕후	https://www.youtube.com/embed/VNkLewG8SK0	조회수 549,504회	4,916	2023-12-16	대령숙수 사람들이 대령숙수 붕해 있던 놈 말을 어찌 믿어 대령숙수 돌아가 자 풀어 줘 내가 알아서 푼다 대령숙수 죽을 때가 됐나보다 환청이나 들리고 제사고 제사고 제사고 제사고 제사고 제사고 제사고 제사고 제사고 제사고 제사고 제사고 제사고 제사고 제사고 제사고 
감독이 바뀌지 않는 이상 세계관 최강 #카지노 #디즈니플러스	https://www.youtube.com/embed/wyxgrl25BRI	조회수 3,055,439회	23,125	2023-12-10	15년 만에 한국 들어가는데 전부 다 1등석으로 티켓팅 해 놨지만 국가에서 하는 거라서 그렇게 할 수가 없다 그렇게 되고 안 되고는 내가 결정하는 것이다 형사들 비즈니스 타세요 사우나 하고 나올게 사우나 하고 나올게 사우나 하고 나올게 사우나 하고 나올게 사우나 하고 나올게 사우나 하고 나올게 사우나 하고 나올게 
일진 여친 뺏는 임시완(찐따) ㅋㅋ #소년시대	https://www.youtube.com/embed/0RMl9zJBkyM	조회수 2,140,189회	55,285	2023-12-13	시계 문제가 뭔지 모르는 것이 문제이고 선하의 매을 모르는 것이 문제이다 시계가 가짜라고 하는 친구들 앞에서 창피했다 친구들 앞에서 창피했다 친구들 앞에서 창피했다 친구들 앞에서 창피했다
헌팅한 여자가 왜 술먹자고 안하냐고 화내!!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이게 무슨 상황이야ㅋㅋㅋㅋㅋㅋ	https://www.youtube.com/embed/VDOJOoJpwn4	조회수 1,415,909회	5,688	2023-12-13	헌팅은 술 마시려고 하는 거 아닌가요 커피도 한잔 안 마셨는데 바로 술 마시러 가면 되는 거 아닌가요 술도 마시고 앉으면 입술 먹고 뭘 먹어요 입술 싸늘한 공기가 되게 좋다 좆될 거 같다 꽃 좋아하시나요 꽃 좋아해요
야, 우리 집이 적십자냐? #응답하라1988	https://www.youtube.com/embed/xNx7Q-iZ5uk	조회수 1,554,588회	38,574	2023-12-16	아줌마가 갈비찜 했다고 해서 엄마 어디 가셨어 아니요 갈비찜 먹고 싶어서요 아줌마 저도요 엄마 어디 가셨어 아니요 갈비찜 먹고 싶어서요 아줌마 저도요 엄마 어디 가셨어 아니요 갈비찜 먹고 싶어서요 아 도롱룡 왜 여기 있냐 학주 아침부터 카레 갈비찜 있다고 했다 했다 했다 했다 했다 했다 했다 했다 했다 했다 했다 했다 했다 했다 했다 했다 했다 했다 했다 했다 했다 했다 했다 했다 했다 했다
여자가 진짜 천재인 이유 #shorts #남편 #부부	https://www.youtube.com/embed/_6hzelwaMTE	조회수 894,866회	24,446	2023-12-12	친구가 길아 결혼 축하한다며 부인 엄청난 천재라며 자랑스러운 미소로 말했다 길이는 자랑스러운 미소로 부인 엄청난 천재라며 자랑스러운 미소로 말했다 
버텨줘서 고맙네	https://www.youtube.com/embed/B3YG47B30c8	조회수 1,228,781회	14,253	2023-12-12	어려운 환경 속에서도 제할 일 다 하고 공부도 잘하는 똑똑한 딸내미를 제국고 전학 시키면 어떤가 회장님 그저 감사한 뜻으로 드리는 선물이라 생각해 주면 된다 아이들은 꿈을 가져야 한다
하나뿐인 딸의 임신고백에 무너지는 딸바보 아빠	https://www.youtube.com/embed/9EbVodL8FwY	조회수 969,271회	27,640	2023-12-16	현이랑 나랑은 낳기로 했는데 임신이 아닐 수도 있으니 아빠랑 병원 가게 병원도 갔었어 내가 직접 의사 만나보고 신 6개월 넘어서 병원 가도 안 돼 도와줘 애 나 꼭 키우는 거 도와줘 하지 마 야망은 너 몸 힘든 것도 싫어 애라는 것도 싫어 <extra_id_23> <extra_id_24> <extra_id_25> <extra_id_26> <extra_id_27>
[자막ver] 공영방송에서 대놓고 욕해버리는 KBS 개그맨  | 개그콘서트 Gagconcert #shorts	https://www.youtube.com/embed/vLlteEUhPEE	조회수 625,395회	15,194	2023-12-16	동영 방송 이상해 하지 말라게 너무 많아 차 떼고 포 떼고 어떻게 웃기 한 건지 말을 못하고 선생님 주라고 이것도 사왔는데 방송에서 뭐라 그래요 라테리아 때려야지 이상해 때려야 때려 대리기사님을 부르지 않았다 열심히 살았다 열심히 살았다고 이상해 때려야 때려 때려 때려 때려 때려 때려 때려 때려 때려 때려 때려 때려 때려 때려 때려 때려 때려 때려 때려 때려 때려 때려 때려 때려 때려 때려 
병원 식당에서 고아라랑 밥먹는 익준, 새끼들아 밥좀 먹자 #슬기로운의사생활	https://www.youtube.com/embed/W8cjbJyApbU	조회수 524,318회	4,308	2023-12-15	곡식 팬은 이사장에게 실물이 훨씬 예쁘다며 인형이냐고 물었다.
